valence,year,,,
0.745,1947,,,
0.735,1947,,,
0.081,1947,,,
0.201,1947,,,
0.66,1947,,,
0.881,1947,,,
0.086,1947,,,
0.892,1947,,,
0.827,1947,,,
0.625,1947,,,
0.709,1947,,,
0.843,1947,,,
0.0603,1947,,,
0.384,1947,,,
0.973,1947,,,
0.779,1947,,,
0.316,1947,,,
0.269,1947,,,
0.706,1947,,,
0.785,1947,,,
0.663,1947,,,
0.88,1947,,,
0.93,1947,,,
0.584,1947,,,
0.877,1947,,,
0.644,1947,,,
0.259,1947,,,
0.116,1947,,,
0.78,1947,,,
0.8,1947,,,
0.166,1947,,,
0.643,1947,,,
0.814,1947,,,
0.665,1947,,,
0.382,1947,,,
0.242,1947,,,
0.0533,1947,,,
0.748,1947,,,
0.575,1947,,,
0.818,1947,,,
0.976,1947,,,
0.8,1947,,,
0.379,1947,,,
0.125,1947,,,
0.284,1947,,,
0.376,1947,,,
0.175,1947,,,
0.822,1947,,,
0.705,1947,,,
0.428,1947,,,
0.708,1947,,,
0.437,1947,,,
0.636,1947,,,
0.377,1947,,,
0.262,1947,,,
0.398,1947,,,
0.971,1947,,,
0.483,1948,,,
0.453,1948,,,
0.961,1948,,,
0.35,1948,,,
0.038,1948,,,
0.73,1948,,,
0.346,1948,,,
0.565,1948,,,
0.513,1948,,,
0.316,1948,,,
0.54,1948,,,
0.201,1948,,,
0.902,1948,,,
0.0712,1948,,,
0.496,1948,,,
0.627,1948,,,
0.038,1948,,,
0.769,1948,,,
0.157,1948,,,
0.0981,1948,,,
0.96,1948,,,
0.537,1948,,,
0.47,1948,,,
0.384,1948,,,
0.116,1948,,,
0.881,1948,,,
0.66,1948,,,
0.28,1948,,,
0.234,1948,,,
0.139,1948,,,
0.74,1948,,,
0.922,1948,,,
0.806,1948,,,
0.807,1948,,,
0.38,1948,,,
0.497,1948,,,
0.697,1948,,,
0.0322,1948,,,
0.845,1948,,,
0.584,1948,,,
0.137,1948,,,
0.438,1948,,,
0.578,1948,,,
0.766,1948,,,
0.445,1948,,,
0.803,1948,,,
0.0339,1948,,,
0.128,1948,,,
0.878,1948,,,
0.97,1948,,,
0.338,1948,,,
0.397,1948,,,
0.0336,1948,,,
0.232,1948,,,
0.674,1948,,,
0.471,1948,,,
0.522,1948,,,
0.687,1948,,,
0.827,1948,,,
0.131,1948,,,
0.865,1948,,,
0.605,1948,,,
0.0769,1948,,,
0.0396,1948,,,
0.434,1948,,,
0.564,1948,,,
0.248,1948,,,
0.0399,1948,,,
0.401,1948,,,
0.346,1948,,,
0.714,1948,,,
0.92,1948,,,
0.76,1948,,,
0.0747,1948,,,
0.721,1948,,,
0.0505,1948,,,
0.453,1948,,,
0.0597,1948,,,
0.28,1948,,,
0.814,1948,,,
0.932,1948,,,
0.276,1948,,,
0.0846,1948,,,
0.52,1948,,,
0.0447,1948,,,
0.104,1948,,,
0.116,1948,,,
0.61,1948,,,
0.961,1948,,,
0,1948,,,
0.712,1948,,,
0.507,1948,,,
0.751,1948,,,
0.733,1948,,,
0.578,1948,,,
0.0375,1948,,,
0.564,1948,,,
0.948,1948,,,
0.611,1948,,,
0.598,1948,,,
0.158,1949,,,
0.275,1949,,,
0.626,1949,,,
0.175,1949,,,
0.463,1949,,,
0.569,1949,,,
0.0909,1949,,,
0.226,1949,,,
0.403,1949,,,
0.71,1949,,,
0.731,1949,,,
0.203,1949,,,
0.149,1949,,,
0.551,1949,,,
0.417,1949,,,
0.648,1949,,,
0.96,1949,,,
0.565,1949,,,
0.755,1949,,,
0.0924,1949,,,
0.103,1949,,,
0.505,1949,,,
0.116,1949,,,
0.269,1949,,,
0.0346,1949,,,
0.051,1949,,,
0.039,1949,,,
0.408,1949,,,
0.472,1949,,,
0.919,1949,,,
0.935,1949,,,
0.0507,1949,,,
0.0946,1949,,,
0.485,1949,,,
0.238,1949,,,
0.169,1949,,,
0.11,1949,,,
0.103,1949,,,
0.222,1949,,,
0.244,1949,,,
0.498,1949,,,
0.816,1949,,,
0.835,1949,,,
0.465,1949,,,
0.27,1949,,,
0.122,1949,,,
0.263,1949,,,
0.704,1949,,,
0.727,1949,,,
0.0846,1949,,,
0.191,1949,,,
0.0357,1949,,,
0.874,1949,,,
0.296,1949,,,
0.438,1949,,,
0.0394,1949,,,
0.196,1949,,,
0.13,1949,,,
0.793,1949,,,
0.637,1949,,,
0.42,1949,,,
0.76,1949,,,
0.578,1949,,,
0.433,1949,,,
0.786,1949,,,
0.769,1949,,,
0.573,1949,,,
0.515,1949,,,
0.353,1949,,,
0.115,1949,,,
0.965,1949,,,
0.241,1949,,,
0.623,1949,,,
0.357,1949,,,
0.139,1949,,,
0.79,1949,,,
0.0754,1949,,,
0.376,1949,,,
0.124,1949,,,
0.812,1949,,,
0.369,1949,,,
0.241,1949,,,
0.937,1949,,,
0.819,1949,,,
0.25,1949,,,
0.419,1949,,,
0.754,1949,,,
0.184,1949,,,
0.858,1949,,,
0.0924,1949,,,
0.661,1949,,,
0.743,1949,,,
0.532,1949,,,
0.173,1949,,,
0.963,1949,,,
0.729,1949,,,
0.508,1949,,,
0.37,1949,,,
0.38,1949,,,
0.421,1949,,,
0.655,1950,,,
0.227,1950,,,
0.34,1950,,,
0.449,1950,,,
0.594,1950,,,
0.793,1950,,,
0.537,1950,,,
0.885,1950,,,
0.308,1950,,,
0.559,1950,,,
0.877,1950,,,
0.347,1950,,,
0.564,1950,,,
0.565,1950,,,
0.78,1950,,,
0.726,1950,,,
0.708,1950,,,
0.747,1950,,,
0.588,1950,,,
0.574,1950,,,
0.241,1950,,,
0.327,1950,,,
0.624,1950,,,
0.835,1950,,,
0.491,1950,,,
0.523,1950,,,
0.344,1950,,,
0.653,1950,,,
0.329,1950,,,
0.837,1950,,,
0.935,1950,,,
0.298,1950,,,
0.489,1950,,,
0.466,1950,,,
0.781,1950,,,
0.899,1950,,,
0.927,1950,,,
0.4,1950,,,
0.348,1950,,,
0.966,1950,,,
0.869,1950,,,
0.644,1950,,,
0.842,1950,,,
0.338,1950,,,
0.955,1950,,,
0.616,1950,,,
0.624,1950,,,
0.654,1950,,,
0.733,1950,,,
0.402,1950,,,
0.683,1950,,,
0.703,1950,,,
0.543,1950,,,
0.966,1950,,,
0.967,1950,,,
0.903,1950,,,
0.521,1950,,,
0.872,1950,,,
0.796,1950,,,
0.889,1950,,,
0.58,1950,,,
0.259,1950,,,
0.695,1950,,,
0.834,1950,,,
0.749,1950,,,
0.529,1950,,,
0.533,1950,,,
0.574,1950,,,
0.314,1950,,,
0.708,1950,,,
0.603,1950,,,
0.0788,1950,,,
0.541,1950,,,
0.433,1950,,,
0.275,1950,,,
0.466,1950,,,
0.664,1950,,,
0.726,1950,,,
0.79,1950,,,
0.189,1950,,,
0.304,1950,,,
0.271,1950,,,
0.606,1950,,,
0.648,1950,,,
0.923,1950,,,
0.0342,1950,,,
0.803,1950,,,
0.948,1950,,,
0.068,1950,,,
0.653,1950,,,
0.106,1950,,,
0.324,1950,,,
0.279,1950,,,
0.338,1950,,,
0.299,1950,,,
0.438,1950,,,
0.738,1950,,,
0.318,1950,,,
0.465,1950,,,
0.279,1950,,,
0.687,1951,,,
0.32,1951,,,
0.549,1951,,,
0.317,1951,,,
0.649,1951,,,
0.671,1951,,,
0.203,1951,,,
0.757,1951,,,
0.317,1951,,,
0.111,1951,,,
0.466,1951,,,
0.591,1951,,,
0.379,1951,,,
0.153,1951,,,
0.137,1951,,,
0.441,1951,,,
0.152,1951,,,
0.865,1951,,,
0.0391,1951,,,
0.183,1951,,,
0.811,1951,,,
0.0661,1951,,,
0.503,1951,,,
0.536,1951,,,
0.147,1951,,,
0.834,1951,,,
0.0359,1951,,,
0.156,1951,,,
0.174,1951,,,
0.484,1951,,,
0.237,1951,,,
0.0723,1951,,,
0.589,1951,,,
0.245,1951,,,
0.357,1951,,,
0.972,1951,,,
0.741,1951,,,
0.275,1951,,,
0.559,1951,,,
0.151,1951,,,
0.198,1951,,,
0.302,1951,,,
0.327,1951,,,
0.124,1951,,,
0.212,1951,,,
0.428,1951,,,
0.82,1951,,,
0.339,1951,,,
0.799,1951,,,
0.438,1951,,,
0.111,1951,,,
0.191,1951,,,
0.671,1951,,,
0.552,1951,,,
0.52,1951,,,
0.424,1951,,,
0.933,1951,,,
0.103,1951,,,
0.36,1951,,,
0.336,1951,,,
0.611,1951,,,
0.23,1951,,,
0.964,1951,,,
0.0806,1951,,,
0.797,1951,,,
0.0631,1951,,,
0.4,1951,,,
0.76,1951,,,
0.198,1951,,,
0.713,1951,,,
0.155,1951,,,
0.73,1951,,,
0.878,1951,,,
0.213,1951,,,
0.075,1951,,,
0.792,1951,,,
0.311,1951,,,
0.195,1951,,,
0.854,1951,,,
0.504,1951,,,
0.306,1951,,,
0.296,1951,,,
0.859,1951,,,
0.934,1951,,,
0.0525,1951,,,
0.513,1951,,,
0.454,1951,,,
0.285,1951,,,
0.383,1951,,,
0.222,1951,,,
0.615,1951,,,
0.415,1951,,,
0.336,1951,,,
0.139,1951,,,
0.671,1951,,,
0.606,1951,,,
0.861,1951,,,
0.688,1951,,,
0.165,1951,,,
0.321,1951,,,
0.493,1952,,,
0.341,1952,,,
0.236,1952,,,
0.213,1952,,,
0.217,1952,,,
0.175,1952,,,
0.372,1952,,,
0.0799,1952,,,
0.496,1952,,,
0.343,1952,,,
0.396,1952,,,
0.532,1952,,,
0.744,1952,,,
0.0391,1952,,,
0.387,1952,,,
0,1952,,,
0.598,1952,,,
0.133,1952,,,
0.354,1952,,,
0.606,1952,,,
0.899,1952,,,
0.0993,1952,,,
0.197,1952,,,
0.23,1952,,,
0.607,1952,,,
0.527,1952,,,
0.125,1952,,,
0.179,1952,,,
0.211,1952,,,
0.376,1952,,,
6.41E-05,1952,,,
0.548,1952,,,
0.0777,1952,,,
0.94,1952,,,
0.372,1952,,,
0.848,1952,,,
0.789,1952,,,
0.255,1952,,,
0.193,1952,,,
0.972,1952,,,
0.392,1952,,,
0.757,1952,,,
0.641,1952,,,
0.863,1952,,,
0.194,1952,,,
0.643,1952,,,
0.219,1952,,,
0.196,1952,,,
0.43,1952,,,
0.754,1952,,,
0.101,1952,,,
0.706,1952,,,
0.833,1952,,,
0.453,1952,,,
0.481,1952,,,
0.773,1952,,,
0.129,1952,,,
0.463,1952,,,
0.862,1952,,,
0.11,1952,,,
0.569,1952,,,
0.236,1952,,,
0.582,1952,,,
0.515,1952,,,
0.685,1952,,,
0.184,1952,,,
0.398,1952,,,
0.244,1952,,,
0.378,1952,,,
0.72,1952,,,
0.354,1952,,,
0.507,1952,,,
0.216,1952,,,
0.416,1952,,,
0.257,1952,,,
0.46,1952,,,
0.259,1952,,,
0.0533,1952,,,
0.497,1952,,,
0.272,1952,,,
0.563,1952,,,
0.287,1952,,,
0.608,1952,,,
0.12,1952,,,
0.0396,1952,,,
0.685,1952,,,
0.415,1952,,,
0.853,1952,,,
0.771,1952,,,
0.683,1952,,,
0.372,1952,,,
0.661,1952,,,
0.0738,1952,,,
0.49,1952,,,
0.77,1952,,,
0.312,1952,,,
0.044,1952,,,
0.782,1952,,,
0.729,1952,,,
0.113,1952,,,
0.0722,1953,,,
0.891,1953,,,
0.856,1953,,,
0.849,1953,,,
0.0838,1953,,,
0.0733,1953,,,
0.298,1953,,,
0.0966,1953,,,
0.137,1953,,,
0.348,1953,,,
0.545,1953,,,
0.615,1953,,,
0.226,1953,,,
0.471,1953,,,
0.759,1953,,,
0.0539,1953,,,
0.539,1953,,,
0.0932,1953,,,
0.0819,1953,,,
0.46,1953,,,
0.75,1953,,,
0.769,1953,,,
0.808,1953,,,
0.883,1953,,,
0.518,1953,,,
0.315,1953,,,
0.0757,1953,,,
0.653,1953,,,
0.0398,1953,,,
0.835,1953,,,
0.0496,1953,,,
